K_Mz,Mz_dist,brake_energy,e0,e_final,e_peak,e_reduction,max_Mz,max_cmd,mu_mode,mz_flips,note,sat_fraction,settle_s,sign,steer,surface,util_peak,vx0
11000.0,-3000.0,0.626028860989385,0.15334762032593385,0.10455029238887426,0.2807395351068167,0.0487973279370596,1339.4940170205339,0.318927146909651,nominal,0,steer,0.0,,-1.0,0.08,nominal,0.9829949115490253,25.0
11000.0,-3000.0,0.525916377187403,0.09205610136459949,0.11892612342133468,0.2527353148238678,-0.026870022056735193,1053.3108725840502,0.25078830299620253,nominal,0,steer,0.0,,-1.0,0.12,nominal,0.9852889457510569,25.0
12000.0,-3000.0,0.4705329538679576,0.1965957608751199,0.07342870058405732,0.2141730895398691,0.12316706029106259,1447.902063985378,0.34473858666318524,nominal,0,steer,0.0,,-1.0,0.04,nominal,0.9811087952944771,25.0
12000.0,-3000.0,0.6436716162965888,0.15334762032593385,0.0981876268259726,0.28045661031002894,0.05515999349996126,1474.2147684632769,0.35100351630078025,nominal,0,steer,0.0,,-1.0,0.08,nominal,0.9829949115490253,25.0
12000.0,-3000.0,0.5444441228670335,0.09205610136459949,0.11189705194451349,0.24952397905797596,-0.019840950579914002,1086.5549976988689,0.2587035708806831,nominal,0,steer,0.0,,-1.0,0.12,nominal,0.9852889457510569,25.0
10000.0,-3000.0,0.2558492545718805,0.026043059661025297,0.10647873336913485,0.11376914980746719,-0.08043567370810956,1077.7855374247843,0.2566156041487582,split,0,,0.0,,-1.0,0.06,split_lr,0.9893697088382273,25.0
10000.0,-3000.0,0.2133996105945682,0.19434001214559904,0.06672288839667898,0.19898142019624523,0.12761712374892006,823.4128388657147,0.19605067592040828,split,0,,0.0,,-1.0,0.06,split_fr,0.9877025790899607,25.0
11000.0,-3000.0,0.031602272182025215,0.026043059661025297,0.09343470284576423,0.11376914980746719,-0.06739164318473893,1269.991629824853,0.30237895948210786,split,0,,0.0,,-1.0,0.06,split_lr,0.9893697088382273,25.0
11000.0,-3000.0,0.22223189979887387,0.19434001214559904,0.06309620941488273,0.19898142019624523,0.1312438027307163,905.3863717175361,0.21556818374227052,split,0,,0.0,,-1.0,0.06,split_fr,0.9877025790899607,25.0
12000.0,-3000.0,0.03447520601675478,0.026043059661025297,0.09343470284576423,0.11376914980746719,-0.06739164318473893,1385.4454143543849,0.3298679557986631,split,0,,0.0,,-1.0,0.06,split_lr,0.9893697088382273,25.0
12000.0,-3000.0,0.0739571420318962,0.19434001214559904,0.11355523372986998,0.19898142019624523,0.08078477841572906,979.2736160609613,0.2331603847764194,split,0,,0.0,,-1.0,0.06,split_fr,0.9877025790899607,25.0
